Epoch: 0/20
2024-07-16 00:22:21.918472 Epoch: 0/20, Batch: 167/375, reward: 0.773, loss: -0.005, time_cost:8.719
2024-07-16 00:22:30.307389 Epoch: 0/20, Batch: 168/375, reward: 0.747, loss: -0.162, time_cost:8.370
2024-07-16 00:22:41.062775 Epoch: 0/20, Batch: 169/375, reward: 0.860, loss: 0.020, time_cost:10.736
2024-07-16 00:22:51.520125 Epoch: 0/20, Batch: 170/375, reward: 0.625, loss: 0.155, time_cost:10.437
2024-07-16 00:23:02.628314 Epoch: 0/20, Batch: 171/375, reward: 0.686, loss: -0.024, time_cost:11.086
2024-07-16 00:23:08.545871 Epoch: 0/20, Batch: 172/375, reward: 0.859, loss: 0.021, time_cost:5.891
2024-07-16 00:23:17.109171 Epoch: 0/20, Batch: 173/375, reward: 0.934, loss: 0.017, time_cost:8.518
2024-07-16 00:23:23.496917 Epoch: 0/20, Batch: 174/375, reward: 0.849, loss: -0.012, time_cost:6.358
2024-07-16 00:23:34.493470 Epoch: 0/20, Batch: 175/375, reward: 0.886, loss: -0.006, time_cost:10.978
2024-07-16 00:23:42.837006 Epoch: 0/20, Batch: 176/375, reward: 0.580, loss: -0.229, time_cost:8.294
2024-07-16 00:23:53.573890 Epoch: 0/20, Batch: 177/375, reward: 0.666, loss: -0.132, time_cost:10.716
2024-07-16 00:24:02.099805 Epoch: 0/20, Batch: 178/375, reward: 0.823, loss: -0.002, time_cost:8.475
2024-07-16 00:24:11.663313 Epoch: 0/20, Batch: 179/375, reward: 0.780, loss: 0.044, time_cost:9.543
2024-07-16 00:24:18.585964 Epoch: 0/20, Batch: 180/375, reward: 0.655, loss: -0.009, time_cost:6.874
2024-07-16 00:24:25.680500 Epoch: 0/20, Batch: 181/375, reward: 0.726, loss: 0.033, time_cost:7.068
2024-07-16 00:24:34.781565 Epoch: 0/20, Batch: 182/375, reward: 0.660, loss: 0.080, time_cost:9.079
2024-07-16 00:24:42.715815 Epoch: 0/20, Batch: 183/375, reward: 0.732, loss: -0.006, time_cost:7.905
2024-07-16 00:24:52.617263 Epoch: 0/20, Batch: 184/375, reward: 0.493, loss: -0.271, time_cost:9.874
2024-07-16 00:24:57.844669 Epoch: 0/20, Batch: 185/375, reward: 0.791, loss: -0.015, time_cost:5.200
2024-07-16 00:25:06.651956 Epoch: 0/20, Batch: 186/375, reward: 0.817, loss: 0.240, time_cost:8.790
2024-07-16 00:25:13.325930 Epoch: 0/20, Batch: 187/375, reward: 0.782, loss: -0.039, time_cost:6.656
2024-07-16 00:25:21.515842 Epoch: 0/20, Batch: 188/375, reward: 0.809, loss: 0.012, time_cost:8.165
2024-07-16 00:25:29.209905 Epoch: 0/20, Batch: 189/375, reward: 0.788, loss: -0.014, time_cost:7.664
2024-07-16 00:25:36.707065 Epoch: 0/20, Batch: 190/375, reward: 0.704, loss: 0.006, time_cost:7.477
2024-07-16 00:25:43.856281 Epoch: 0/20, Batch: 191/375, reward: 0.633, loss: -0.062, time_cost:7.115
2024-07-16 00:25:51.518406 Epoch: 0/20, Batch: 192/375, reward: 0.637, loss: 0.010, time_cost:7.637
2024-07-16 00:25:59.083369 Epoch: 0/20, Batch: 193/375, reward: 0.876, loss: 0.004, time_cost:7.510
2024-07-16 00:26:06.696598 Epoch: 0/20, Batch: 194/375, reward: 0.755, loss: 0.022, time_cost:7.555
2024-07-16 00:26:13.492856 Epoch: 0/20, Batch: 195/375, reward: 0.653, loss: -0.066, time_cost:6.779
2024-07-16 00:26:19.601974 Epoch: 0/20, Batch: 196/375, reward: 0.685, loss: 0.264, time_cost:6.091
2024-07-16 00:26:24.229529 Epoch: 0/20, Batch: 197/375, reward: 0.837, loss: 0.125, time_cost:4.598
2024-07-16 00:26:30.280400 Epoch: 0/20, Batch: 198/375, reward: 0.611, loss: 0.010, time_cost:6.027
2024-07-16 00:26:33.935966 Epoch: 0/20, Batch: 199/375, reward: 0.729, loss: 0.162, time_cost:3.630
2024-07-16 00:26:42.125980 Epoch: 0/20, Batch: 200/375, reward: 0.851, loss: -0.003, time_cost:8.169
2024-07-16 00:26:51.310631 Epoch: 0/20, Batch: 201/375, reward: 0.702, loss: 0.244, time_cost:9.161
2024-07-16 00:26:58.826127 Epoch: 0/20, Batch: 202/375, reward: 0.802, loss: -0.011, time_cost:7.488
2024-07-16 00:27:09.366833 Epoch: 0/20, Batch: 203/375, reward: 0.637, loss: 0.060, time_cost:10.522
2024-07-16 00:27:21.438999 Epoch: 0/20, Batch: 204/375, reward: 0.794, loss: 0.026, time_cost:12.046
2024-07-16 00:27:33.519858 Epoch: 0/20, Batch: 205/375, reward: 0.740, loss: 0.127, time_cost:12.016
2024-07-16 00:27:43.730321 Epoch: 0/20, Batch: 206/375, reward: 0.671, loss: -0.201, time_cost:10.166
2024-07-16 00:27:56.450982 Epoch: 0/20, Batch: 207/375, reward: 0.899, loss: 0.001, time_cost:12.699
2024-07-16 00:28:07.323402 Epoch: 0/20, Batch: 208/375, reward: 0.805, loss: -0.007, time_cost:10.855
2024-07-16 00:28:19.158624 Epoch: 0/20, Batch: 209/375, reward: 0.757, loss: -0.003, time_cost:11.812
2024-07-16 00:28:27.360746 Epoch: 0/20, Batch: 210/375, reward: 0.612, loss: 0.232, time_cost:8.160
2024-07-16 00:28:38.503639 Epoch: 0/20, Batch: 211/375, reward: 0.740, loss: -0.086, time_cost:11.106
2024-07-16 00:28:47.178578 Epoch: 0/20, Batch: 212/375, reward: 0.688, loss: -0.249, time_cost:8.657
2024-07-16 00:28:58.666073 Epoch: 0/20, Batch: 213/375, reward: 0.880, loss: -0.043, time_cost:11.468
2024-07-16 00:29:06.956585 Epoch: 0/20, Batch: 214/375, reward: 0.674, loss: -0.069, time_cost:8.271
2024-07-16 00:29:18.551360 Epoch: 0/20, Batch: 215/375, reward: 0.755, loss: -0.273, time_cost:11.576
2024-07-16 00:29:29.467119 Epoch: 0/20, Batch: 216/375, reward: 0.771, loss: -0.008, time_cost:10.840
2024-07-16 00:29:41.643235 Epoch: 0/20, Batch: 217/375, reward: 0.874, loss: 0.070, time_cost:12.158
2024-07-16 00:29:50.993944 Epoch: 0/20, Batch: 218/375, reward: 0.745, loss: 0.220, time_cost:9.323
